状态,链接,活动id,upid,抽奖时间戳,抽奖时间,一等奖,二等奖,三等奖
1,http://www.bilibili.com/opus/1035571771051343879,1035571771051343879,355316181,1740672000,2025-2-28 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1038216429378207768,1038216429378207768,287886755,1740672000,2025-2-28 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1037449659615805465,1037449659615805465,65900190,1740672000,2025-2-28 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1017370451272269844,1017370451272269844,44070158,1740672000,2025-2-28 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1038114642943016965,1038114642943016965,399259929,1740672000,2025-2-28 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1035517259334811673,1035517259334811673,480582281,1740672000,2025-2-28 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1036306030108082184,1036306030108082184,417353455,1740672000,2025-2-28 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1037719984857415681,1037719984857415681,455722391,1740672000,2025-2-28 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1037448070494683140,1037448070494683140,65900190,1740672000,2025-2-28 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1028464927329746961,1028464927329746961,4162287,1740672000,2025-2-28 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1035230699119968291,1035230699119968291,1930420310,1740672000,2025-2-28 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1035502884065640471,1035502884065640471,628831867,1740672000,2025-2-28 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1035506337240317953,1035506337240317953,2026733267,1740672000,2025-2-28 00:00:00,无,无,无
1,https://www.bilibili.com/opus/1036248361554935810,1036248361554935810,587050283,1740715200,2025-02-28 12:00:00,三国杀CD机,三国杀珍藏卡牌,三国杀标准卡牌
1,https://www.bilibili.com/opus/1034871480965398549,1034871480965398549,3493079736650552,1740715200,2025-02-28 12:00:00,JDG战队外套,尤文复古T恤,
1,https://www.bilibili.com/opus/1029384046064435232,1029384046064435232,407420705,1740715200,2025-02-28 12:00:00,友望大橘吸尘器➕猫合照挂历➕猫合照毯子,猫合照挂历➕猫合照毯子,猫合照挂历
1,https://www.bilibili.com/opus/1017038291411664920,1017038291411664920,2048450375,1740715200,2025-02-28 12:00:00,SKN青龙4.0键盘,飞科U1剃须刀,
1,https://www.bilibili.com/opus/1036262900045447169,1036262900045447169,99157282,1740715200,2025-02-28 12:00:00,春天快乐晚餐基金,20寸魔方行李箱,月亮兜兜春天零食礼包
1,https://www.bilibili.com/opus/1027841259422613528,1027841259422613528,20572289,1740736800,2025-02-28 18:00:00,影像旗舰三选一 16+512,性能手机四选一 16+512,MyGO二专
1,https://www.bilibili.com/opus/1028495447395663878,1028495447395663878,94641579,1740736800,2025-02-28 18:00:00,蓝宝石B650氮动WIFI主板,steam黑神话悟空,
1,https://www.bilibili.com/opus/1027374813095657472,1027374813095657472,15717030,1740736800,2025-02-28 18:00:00,648元红包,328元红包,月度大会员
1,https://www.bilibili.com/opus/1030754698978656262,1030754698978656262,8372353,1740736800,2025-02-28 18:00:00,iQOO13手机一台,无,
1,https://www.bilibili.com/opus/1030753277345529860,1030753277345529860,476680419,1740737280,2025-02-28 18:08:00,艾湃电竞AN750 750W金牌电源,无,
1,https://www.bilibili.com/opus/1024857846312861715,1024857846312861715,36081646,1740739800,2025-02-28 18:50:00,洛天依 秋梦天依可动人偶 公式服款,无,
1,https://www.bilibili.com/opus/1022463745628045319,1022463745628045319,598415046,1740740400,2025-02-28 19:00:00,RTX5070显卡,宏碁AC850电源,宙斯AD850电源
