状态,链接,活动id,upid,抽奖时间戳,抽奖时间,一等奖,二等奖,三等奖
0,https://www.bilibili.com/opus/1035992523263180806,1035992523263180806,521568502,1742439600,2025-03-20 11:00:00,EX30车顶遮阳帘,丹宁背带裤麋鹿玩偶,精工系列车胎充气泵
0,https://www.bilibili.com/opus/1013270561396097042,1013270561396097042,174501086,1742534700,2025-03-21 13:25:00,明日方舟澄闪喜夜侍者比例手办,无,
0,https://www.bilibili.com/opus/1026687493765857301,1026687493765857301,504453319,1743422400,2025-03-31 20:00:00,RTX5080显卡,RTX5070TI / 5070显卡,RTX5060TI / 5060显卡
0,https://www.bilibili.com/opus/1037454749139468297,1037454749139468297,3493268260128845,1744041540,2025-04-07 23:59:00,9700X+9070XT海景房游戏主机,无,
0,https://www.bilibili.com/opus/1034752789510619142,1034752789510619142,31748830,1742124600,2025-03-16 19:30:00,5070 新品显卡,PS01 1TB移动固态硬盘,影驰周边大礼包
0,https://www.bilibili.com/opus/1020755628521422854,1020755628521422854,92568184,1742758020,2025-03-24 03:27:00,mate 70,无,
0,https://www.bilibili.com/opus/1030415469579862020,1030415469579862020,285571498,1741447020,2025-03-08 23:17:00,一人500元,一人100元,
0,https://www.bilibili.com/opus/1030307854824767496,1030307854824767496,17138783,1741316400,2025-03-07 11:00:00,888元红包,无,
0,https://www.bilibili.com/opus/1032908698062684185,1032908698062684185,133901828,1743358920,2025-03-31 02:22:00,5080显卡,年度大会员,季度大会员
0,https://www.bilibili.com/opus/1037876897212530691,1037876897212530691,516185777,1743436740,2025-03-31 23:59:00,五十元现金红包或者哪吒2电影票一张,无,
0,https://www.bilibili.com/opus/1024016908877299717,1024016908877299717,1514206231,1742270400,2025-03-18 12:00:00,RTX 5090D,现金红包,
0,https://www.bilibili.com/opus/1031806398987501608,1031806398987501608,1888510872,1741579200,2025-03-10 12:00:00,R5 5600电脑主机,无,
0,https://www.bilibili.com/opus/1033021020082012162,1033021020082012162,39180492,1741982400,2025-03-15 04:00:00,B站神秘礼盒,电脑显示器增高支架,外置显卡PCIe扩展底座
0,https://www.bilibili.com/opus/1032298327402610728,1032298327402610728,108766164,1741608000,2025-03-10 20:00:00,富士instax mini 12,骆驼天幕帐篷 或 小米手环9,理肤泉防晒霜 或 b站年度大会员
0,https://www.bilibili.com/opus/1038110620704047109,1038110620704047109,586631367,1741235400,2025-03-06 12:30:00,CHERRY联名Mi-a键盘,无,
0,https://www.bilibili.com/opus/1038852992955056151,1038852992955056151,401742377,1741327200,2025-03-07 14:00:00,班尼特角色立牌,无,
0,https://www.bilibili.com/opus/1038979350858301445,1038979350858301445,276928941,1743347400,2025-03-30 23:10:00,小米15ultra影像套装,无,
0,https://www.bilibili.com/opus/1038946391309680665,1038946391309680665,3766866,1742740200,2025-03-23 22:30:00,iQOO8 Pro （高配非全新裸机）,小米 SU7 车模（配色随机）,PITAKA 手机壳（型号随机）
0,https://www.bilibili.com/opus/1015569885010329650,1015569885010329650,17202395,1743070080,2025-03-27 18:08:00,surface,无,
0,https://www.bilibili.com/opus/1036626756754210822,1036626756754210822,3461576715667734,1741334400,2025-03-07 16:00:00,【888礼金*1】,【无限暖暖周边礼盒*1】,
0,https://www.bilibili.com/opus/1037850891172970520,1037850891172970520,3537109822474581,1741060800,2025-03-04 12:00:00,50元京东卡,无,
0,https://www.bilibili.com/opus/1038997153534443526,1038997153534443526,32708543,1741752000,2025-03-12 12:00:00,雪未来可爱体系列毛绒挂件,无,
0,https://www.bilibili.com/opus/1036672992080297984,1036672992080297984,1881796598,1740996000,2025-03-03 18:00:00,提提亚生日卡,无,
0,https://www.bilibili.com/opus/1026279519114231809,1026279519114231809,1488429768,1745510400,2025-04-25 00:00:00,5080显卡/海景房主机,DIY硬件随机发,新春红包
0,https://www.bilibili.com/opus/1033661146256637990,1033661146256637990,3546611663767648,1742011200,2025-03-15 12:00:00,间谍过家家 阿尼亚·福杰手办,无,
0,https://www.bilibili.com/opus/1025235734711238676,1025235734711238676,361556391,1742583600,2025-03-22 03:00:00,iPhone16 Pro 512G,Dji Pocket3 标准版,AirPods Pro 2
0,https://www.bilibili.com/opus/1035233435020427272,1035233435020427272,1752630832,1741079280,2025-03-04 17:08:00,3人平分520,无,
0,https://www.bilibili.com/opus/1036045226757586951,1036045226757586951,453972,1742756400,2025-03-24 03:00:00,七彩虹5070Ti显卡,无,
0,https://www.bilibili.com/opus/1033407721749086212,1033407721749086212,497525820,1742496360,2025-03-21 02:46:00,50元红包或者哪吒2电影票（二选一）,3w现金红包,5090D显卡一张（品牌随机）
0,https://www.bilibili.com/opus/1038988426111614976,1038988426111614976,1424972,1742878800,2025-03-25 13:00:00,66.66元红包,无,
0,https://www.bilibili.com/opus/1032191790731493383,1032191790731493383,534970347,1741535940,2025-03-09 23:59:00,Q版梅塞施密特 BF109&飞行员模型,无,
0,https://www.bilibili.com/opus/1013284056179146770,1013284056179146770,1871001,1742537880,2025-03-21 14:18:00,648元,无,
